,in,out,1,2,3,4,1_op,2_op,3_op,4_op
79,"[17, 19, 6]","[32, 36, 41, 42, 22, 25, 28]","{20, 22, 24, 28, 31}",set(),set(),set(),0.15625,0.0,0.0,0.0
80,"[17, 19, 6]","[32, 36, 41, 42, 46, 22, 25, 28]","{32, 20, 22, 24, 28, 31}",set(),set(),set(),0.1875,0.0,0.0,0.0
81,"[19, 6]","[32, 36, 41, 46, 22, 25, 28]","{32, 20, 22, 24, 28}","{32, 21, 23, 25, 29}",set(),"{20, 22, 24, 28, 30}",0.15625,0.15625,0.0,0.16666666666666666
82,"[17, 19, 6]","[25, 42, 28, 22]","{24, 20, 22, 31}",set(),set(),set(),0.125,0.0,0.0,0.0
83,[22],[25],{22},{23},{23},{22},0.03125,0.03125,0.03125,0.03333333333333333
84,"[6, 22]","[25, 28]","{24, 22}","{25, 23}",set(),"{24, 22}",0.0625,0.0625,0.0,0.06666666666666667
85,"[19, 6, 22]","[32, 36, 41, 25, 28]","{24, 28, 22}","{25, 29, 23}",set(),"{24, 28, 22}",0.09375,0.09375,0.0,0.1
86,"[17, 19, 6, 22]","[32, 36, 41, 42, 25, 28]","{24, 28, 22, 31}",set(),set(),set(),0.125,0.0,0.0,0.0
87,"[17, 19, 6, 22]","[32, 36, 41, 42, 46, 25, 28]","{32, 22, 24, 28, 31}",set(),set(),set(),0.15625,0.0,0.0,0.0
88,"[19, 6, 22]","[32, 36, 41, 46, 25, 28]","{24, 32, 28, 22}","{32, 25, 29, 23}",set(),"{24, 28, 22, 30}",0.125,0.125,0.0,0.13333333333333333
89,"[17, 6, 22]","[25, 42, 28]","{24, 22, 31}",set(),set(),set(),0.09375,0.0,0.0,0.0
90,"[25, 6]",[28],{24},{25},set(),{24},0.03125,0.03125,0.0,0.03333333333333333
91,"[25, 19, 6]","[32, 41, 28, 36]","{24, 28}","{25, 29}",set(),"{24, 28}",0.0625,0.0625,0.0,0.06666666666666667
92,"[17, 19, 6, 25]","[32, 36, 41, 42, 28]","{24, 28, 31}",set(),set(),set(),0.09375,0.0,0.0,0.0
93,"[17, 19, 6, 25]","[32, 36, 41, 42, 46, 28]","{24, 32, 28, 31}",set(),set(),set(),0.125,0.0,0.0,0.0
94,"[25, 19, 6]","[32, 36, 41, 46, 28]","{24, 32, 28}","{32, 25, 29}",set(),"{24, 28, 30}",0.09375,0.09375,0.0,0.1
95,"[17, 6, 25]","[42, 28]","{24, 31}",set(),set(),set(),0.0625,0.0,0.0,0.0
96,"[19, 28, 6]","[32, 41, 36]",{28},{29},set(),{28},0.03125,0.03125,0.0,0.03333333333333333
97,"[19, 28, 6]","[32, 41, 36, 46]","{32, 28}","{32, 29}",set(),"{28, 30}",0.0625,0.0625,0.0,0.06666666666666667
98,"[17, 28]",[42],{31},set(),set(),set(),0.03125,0.0,0.0,0.0
99,"[32, 36]",[46],{32},{32},{32},{30},0.03125,0.03125,0.03125,0.03333333333333333
100,"[1, 2]","[4, 7, 9, 10, 11]","{9, 4, 7}","{10, 4, 7}","{10, 4, 7}","{9, 4, 7}",0.09375,0.09375,0.09375,0.1
101,"[1, 2]","[4, 7, 9, 10, 11, 14, 15]","{9, 4, 12, 7}","{10, 4, 13, 7}","{10, 4, 13, 7}","{9, 4, 12, 7}",0.125,0.125,0.125,0.13333333333333333
102,"[1, 2]","[4, 7, 9, 10, 11, 14, 15, 17]","{4, 7, 9, 12, 14}","{4, 7, 10, 13, 15}","{4, 7, 10, 13, 15}","{4, 7, 9, 12, 14}",0.15625,0.15625,0.15625,0.16666666666666666
103,"[1, 2]","[4, 7, 9, 10, 11, 14, 15, 17, 19]","{4, 7, 9, 12, 14, 16}","{4, 7, 10, 13, 15, 17}","{4, 7, 10, 13, 15, 17}","{4, 7, 9, 12, 14, 16}",0.1875,0.1875,0.1875,0.2
104,"[1, 2]","[4, 7, 9, 10, 11, 14, 15, 17, 19, 22]","{4, 7, 9, 12, 14, 16, 20}","{4, 7, 10, 13, 15, 17, 21}","{4, 7, 10, 13, 15, 17, 21}","{4, 7, 9, 12, 14, 16, 20}",0.21875,0.21875,0.21875,0.23333333333333334
105,"[1, 2]","[4, 7, 9, 10, 11, 14, 15, 17, 19, 22, 25]","{4, 7, 9, 12, 14, 16, 20, 22}","{4, 7, 10, 13, 15, 17, 21, 23}","{4, 7, 10, 13, 15, 17, 21, 23}","{4, 7, 9, 12, 14, 16, 20, 22}",0.25,0.25,0.25,0.26666666666666666
106,"[1, 2, 6]","[4, 7, 9, 10, 11, 14, 15, 17, 19, 22, 25, 28]","{4, 7, 9, 12, 14, 16, 20, 22, 24}","{4, 7, 10, 13, 15, 17, 21, 23, 25}",set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24}",0.28125,0.28125,0.0,0.3
107,"[1, 2, 6]","[32, 4, 36, 7, 9, 10, 11, 41, 14, 15, 17, 19, 22, 25, 28]","{4, 7, 9, 12, 14, 16, 20, 22, 24, 28}","{4, 7, 10, 13, 15, 17, 21, 23, 25, 29}",set(),"{4, 7, 9, 12, 14, 16, 20, 22, 24, 28}",0.3125,0.3125,0.0,0.3333333333333333
108,"[2, 4]","[9, 10, 11, 7]","{9, 7}","{10, 7}","{10, 7}","{9, 7}",0.0625,0.0625,0.0625,0.06666666666666667
109,"[2, 4]","[7, 9, 10, 11, 14, 15]","{9, 12, 7}","{10, 13, 7}","{10, 13, 7}","{9, 12, 7}",0.09375,0.09375,0.09375,0.1
110,"[1, 2, 4]","[7, 9, 10, 11, 14, 15, 17]","{9, 12, 14, 7}","{10, 15, 13, 7}","{10, 15, 13, 7}","{9, 12, 14, 7}",0.125,0.125,0.125,0.13333333333333333
111,"[1, 2, 4]","[7, 9, 10, 11, 14, 15, 17, 19]","{7, 9, 12, 14, 16}","{7, 10, 13, 15, 17}","{7, 10, 13, 15, 17}","{7, 9, 12, 14, 16}",0.15625,0.15625,0.15625,0.16666666666666666
112,"[1, 2, 4]","[7, 9, 10, 11, 14, 15, 17, 19, 22]","{7, 9, 12, 14, 16, 20}","{7, 10, 13, 15, 17, 21}","{7, 10, 13, 15, 17, 21}","{7, 9, 12, 14, 16, 20}",0.1875,0.1875,0.1875,0.2
113,"[1, 2, 4]","[7, 9, 10, 11, 14, 15, 17, 19, 22, 25]","{7, 9, 12, 14, 16, 20, 22}","{7, 10, 13, 15, 17, 21, 23}","{7, 10, 13, 15, 17, 21, 23}","{7, 9, 12, 14, 16, 20, 22}",0.21875,0.21875,0.21875,0.23333333333333334
114,"[1, 2, 4, 6]","[7, 9, 10, 11, 14, 15, 17, 19, 22, 25, 28]","{7, 9, 12, 14, 16, 20, 22, 24}","{7, 10, 13, 15, 17, 21, 23, 25}",set(),"{7, 9, 12, 14, 16, 20, 22, 24}",0.25,0.25,0.0,0.26666666666666666
115,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 11, 41, 14, 15, 17, 19, 22, 25, 28]","{7, 9, 12, 14, 16, 20, 22, 24, 28}","{7, 10, 13, 15, 17, 21, 23, 25, 29}",set(),"{7, 9, 12, 14, 16, 20, 22, 24, 28}",0.28125,0.28125,0.0,0.3
116,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 11, 41, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 7, 9, 12, 14, 16, 20, 22, 24, 28}","{32, 7, 10, 13, 15, 17, 21, 23, 25, 29}",set(),"{7, 9, 12, 14, 16, 20, 22, 24, 28, 30}",0.3125,0.3125,0.0,0.3333333333333333
117,"[9, 7]","[10, 11]",{9},{10},{10},{9},0.03125,0.03125,0.03125,0.03333333333333333
118,"[9, 7]","[10, 11, 14, 15]","{9, 12}","{10, 13}","{10, 13}","{9, 12}",0.0625,0.0625,0.0625,0.06666666666666667
119,"[1, 9, 7]","[10, 11, 14, 15, 17]","{9, 12, 14}","{10, 13, 15}","{10, 13, 15}","{9, 12, 14}",0.09375,0.09375,0.09375,0.1
120,"[1, 9, 7]","[10, 11, 14, 15, 17, 19]","{16, 9, 12, 14}","{17, 10, 13, 15}","{17, 10, 13, 15}","{16, 9, 12, 14}",0.125,0.125,0.125,0.13333333333333333
121,"[1, 9, 7]","[10, 11, 14, 15, 17, 19, 22]","{9, 12, 14, 16, 20}","{10, 13, 15, 17, 21}","{10, 13, 15, 17, 21}","{9, 12, 14, 16, 20}",0.15625,0.15625,0.15625,0.16666666666666666
122,"[1, 9, 7]","[10, 11, 14, 15, 17, 19, 22, 25]","{9, 12, 14, 16, 20, 22}","{10, 13, 15, 17, 21, 23}","{10, 13, 15, 17, 21, 23}","{9, 12, 14, 16, 20, 22}",0.1875,0.1875,0.1875,0.2
123,"[1, 9, 6, 7]","[10, 11, 14, 15, 17, 19, 22, 25, 28]","{9, 12, 14, 16, 20, 22, 24}","{10, 13, 15, 17, 21, 23, 25}",set(),"{9, 12, 14, 16, 20, 22, 24}",0.21875,0.21875,0.0,0.23333333333333334
124,"[1, 9, 6, 7]","[32, 36, 41, 10, 11, 14, 15, 17, 19, 22, 25, 28]","{9, 12, 14, 16, 20, 22, 24, 28}","{10, 13, 15, 17, 21, 23, 25, 29}",set(),"{9, 12, 14, 16, 20, 22, 24, 28}",0.25,0.25,0.0,0.26666666666666666
125,"[1, 9, 6, 7]","[32, 36, 41, 10, 11, 14, 15, 46, 17, 19, 22, 25, 28]","{32, 9, 12, 14, 16, 20, 22, 24, 28}","{32, 10, 13, 15, 17, 21, 23, 25, 29}",set(),"{9, 12, 14, 16, 20, 22, 24, 28, 30}",0.28125,0.28125,0.0,0.3
126,"[10, 11]","[14, 15]",set(),{13},{13},set(),0.0,0.03125,0.03125,0.0
127,"[1, 10, 11]","[17, 14, 15]",set(),"{13, 15}","{13, 15}",set(),0.0,0.0625,0.0625,0.0
128,"[1, 10, 11]","[17, 19, 14, 15]",set(),"{17, 13, 15}","{17, 13, 15}",set(),0.0,0.09375,0.09375,0.0
129,"[1, 10, 11]","[14, 15, 17, 19, 22]",set(),"{17, 21, 13, 15}","{17, 21, 13, 15}",set(),0.0,0.125,0.125,0.0
130,"[1, 10, 11]","[14, 15, 17, 19, 22, 25]",set(),"{13, 15, 17, 21, 23}","{13, 15, 17, 21, 23}",set(),0.0,0.15625,0.15625,0.0
131,"[1, 10, 11, 6]","[14, 15, 17, 19, 22, 25, 28]",set(),"{13, 15, 17, 21, 23, 25}",set(),set(),0.0,0.1875,0.0,0.0
132,"[1, 10, 11, 6]","[32, 36, 41, 14, 15, 17, 19, 22, 25, 28]",set(),"{13, 15, 17, 21, 23, 25, 29}",set(),set(),0.0,0.21875,0.0,0.0
133,"[1, 10, 11, 6]","[32, 36, 41, 14, 15, 46, 17, 19, 22, 25, 28]",set(),"{32, 13, 15, 17, 21, 23, 25, 29}",set(),set(),0.0,0.25,0.0,0.0
134,"[1, 2, 6]","[4, 7, 9, 10, 11, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{4, 7, 10, 13, 15, 17, 21, 23, 25}",set(),0.0,0.0,0.28125,0.0
135,"[1, 2, 6]","[32, 4, 36, 7, 9, 10, 11, 41, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{4, 7, 10, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.3125,0.0
136,"[1, 2, 4, 6]","[7, 9, 10, 11, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{7, 10, 13, 15, 17, 21, 23, 25}",set(),0.0,0.0,0.25,0.0
137,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 11, 41, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{7, 10, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.28125,0.0
138,"[1, 2, 4, 6]","[32, 36, 7, 9, 10, 11, 41, 14, 15, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 7, 10, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.3125,0.0
139,"[1, 9, 6, 7]","[10, 11, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{10, 13, 15, 17, 21, 23, 25}",set(),0.0,0.0,0.21875,0.0
140,"[1, 9, 6, 7]","[32, 36, 41, 10, 11, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{10, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.25,0.0
141,"[1, 9, 6, 7]","[32, 36, 41, 10, 11, 14, 15, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 10, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.28125,0.0
142,"[1, 10, 11, 6]","[14, 15, 17, 19, 22, 25, 27]",set(),set(),"{13, 15, 17, 21, 23, 25}",set(),0.0,0.0,0.1875,0.0
143,"[1, 10, 11, 6]","[32, 36, 41, 14, 15, 17, 19, 22, 25, 27]",set(),set(),"{13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.21875,0.0
144,"[1, 10, 11, 6]","[32, 36, 41, 14, 15, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 13, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.25,0.0
145,"[1, 15, 6, 14]","[17, 19, 22, 25, 27]",set(),set(),"{15, 17, 21, 23, 25}",set(),0.0,0.0,0.15625,0.0
146,"[1, 15, 6, 14]","[32, 36, 41, 17, 19, 22, 25, 27]",set(),set(),"{15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.1875,0.0
147,"[1, 15, 6, 14]","[32, 36, 41, 46, 17, 19, 22, 25, 27]",set(),set(),"{32, 15, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.21875,0.0
148,"[17, 6]","[27, 25, 19, 22]",set(),set(),"{17, 21, 25, 23}",set(),0.0,0.0,0.125,0.0
149,"[17, 6]","[32, 36, 41, 19, 22, 25, 27]",set(),set(),"{17, 21, 23, 25, 29}",set(),0.0,0.0,0.15625,0.0
150,"[17, 6]","[32, 36, 41, 46, 19, 22, 25, 27]",set(),set(),"{32, 17, 21, 23, 25, 29}",set(),0.0,0.0,0.1875,0.0
151,"[1, 25]","[27, 6]",set(),set(),"{25, 19}",set(),0.0,0.0,0.0625,0.0
152,"[1, 19, 25]","[32, 36, 6, 41, 27]",set(),set(),"{25, 19, 29}",set(),0.0,0.0,0.09375,0.0
153,"[1, 19, 25]","[32, 36, 6, 41, 46, 27]",set(),set(),"{32, 25, 19, 29}",set(),0.0,0.0,0.125,0.0
154,"[19, 6]","[25, 27, 22]",set(),set(),"{25, 21, 23}",set(),0.0,0.0,0.09375,0.0
155,"[19, 6]","[32, 36, 41, 22, 25, 27]",set(),set(),"{25, 29, 21, 23}",set(),0.0,0.0,0.125,0.0
156,"[19, 6]","[32, 36, 41, 46, 22, 25, 27]",set(),set(),"{32, 21, 23, 25, 29}",set(),0.0,0.0,0.15625,0.0
157,"[6, 22]","[25, 27]",set(),set(),"{25, 23}",set(),0.0,0.0,0.0625,0.0
158,"[19, 6, 22]","[32, 36, 41, 25, 27]",set(),set(),"{25, 29, 23}",set(),0.0,0.0,0.09375,0.0
159,"[19, 6, 22]","[32, 36, 41, 46, 25, 27]",set(),set(),"{32, 25, 29, 23}",set(),0.0,0.0,0.125,0.0
160,"[25, 6]",[27],set(),set(),{25},set(),0.0,0.0,0.03125,0.0
161,"[25, 19, 6]","[32, 41, 27, 36]",set(),set(),"{25, 29}",set(),0.0,0.0,0.0625,0.0
162,"[25, 19, 6]","[32, 36, 41, 46, 27]",set(),set(),"{32, 25, 29}",set(),0.0,0.0,0.09375,0.0
163,"[27, 19, 6]","[32, 41, 36]",set(),set(),{29},set(),0.0,0.0,0.03125,0.0
164,"[27, 19, 6]","[32, 41, 36, 46]",set(),set(),"{32, 29}",set(),0.0,0.0,0.0625,0.0
